Lexical item	百 hundred	痛 pain	卖 sell	芋头 taro	睡 sleep	花 flower	二 two	水果 fruit	三 three	满 full	手 hand	雪 snow	五 five	鱼 fish	竹笋 bamboo shoot	辣 spicy	尿 urine	四 four	喝 drink	舌头 tongue	毛 hair	酸 sour	漆 lacquer	骨头 bone	洗(洗手) wash (hands)	翅膀 wing	炭木炭 charcoal	火 fire	死 die	长 long	戴戴帽 wear (cap)	这 this	个这个碗 classifier (bowl)	过过河 cross (river)	鸟 bird	月亮 moon	尾巴 tail	黄瓜 cucumber	鸡 chicken	筷子 chopsticks	六 six	笑 laugh	肥 fat	高 high	新 new	灰草木灰 ash	血 blood	重 heavy	偷 steal	银子 silver	八 eight	九 nine	痒 itchy	十 ten	菌子 mushroom	斤 a unit of weight	虫 worm	路 road	水牛 buffalo	角 horn	菜 vegetable	石头 stone
Chinese	百		卖	芋															欱	舌		酸	漆		澡		炭							过				瓜	鸡	箸					清					银					菇7	斤						
Ratliff 2010	pæk		mɛijH	wouH	pu̯eiH	bi̯aŋ	ʔu̯i	pji̯əuX	pjɔu	pu̯ɛŋX	bɔuX		pra	mbrəuX		mbrat	raX	plei	hup	mblet	pljei	suj	tʰ jet	ʦʰuŋX	ntsæwX	N-tat	tʰanH	douX	dəjH	ntauX		ʔneinX		KwajH	m-nɔk	hlaH	tu̯eiX	Kwa	Kəi	drouH	kruk	krət	grəunH	-hr̯əŋ	tsʰji̯əŋ	tsʰju̯əiX   nʦʰjamX		hnjeinX	ȵemH	ȵwi̯ən	jat	N-ɟuə	kʰju̯ɛt	gju̯ɛp	ŋkjæu	kwjan	klæŋ	kləuX	ŋiuŋ	klɛɔŋ	ʔræi	-ʔrəu
Wang & Mao 1995	pɛk5	ʔmɔn1	ma6	vəu6	pwu5	bwjᴀŋ2	ʔɪu1	ptsou3	pwtsæu1	pwtsuəŋ3	bwdzæu4	mpwtsən5	ptʂa1	mbdʐau4	mbdʐai6	mbdʐa:t8	vʐɐ 4	l̥oi1	həp7	mblet8	pɭoi1	θə:i1	tθʰ jet7	tθʰwjɒəŋ3	ntsᴀ:u3	ta: t7	tʰa:n5	dəu4	dɑi6	ntæ:u3	ntɐəŋ5	ʔne:i3	ʔnlɒ:m1	qlvᴀ:i5	nmɔk	l̥a5	twu3	qlva1	qəi1	ɖəu6	ʈɭɔ:k5	ʈɭot7	ɖɭon6	ŋkʰlaŋ1	tʂʰæŋ1	tʂʰwo:i3	ɳtʂʰja:m3	ȵ̥ ɪŋ3	ȵɛ:m6	ȵwɐ:n2	ʑᴀt8	ʔwɔu2	cʰɛt7	fɑp8	ɲcə1	cwɪ:n1	clɛ:ŋ1	clau3	ŋɔ:ŋ2	klo:ŋ1	ŋklɐi1	ŋklau1
Jiwei	pa53	moŋ35	me42	wə42	pə53	pei31	ɯ35	pi44	pu35	pe44	tɯ 33	mpe53	pʐɑ35	mʐɯ33	mʐɑ42	mʐei33	ʐɑ33	pʐei35	hu44	mjɑ33	pi35	ɕɔ35	ʦʰei44 I! F!	soŋ44	ntsa44	tei44	tʰe53	tə33	tɑ42	ntɯ44	ntu53	nei44	le35	kwɑ53	nu42	l̥ʰa53	tə44	kwɑ35	qa35	ʈɯ42 F!	ʈɔ53	ʈo44	ʈɑŋ42	ʂɛ35	ɕɛ35	ɕi44	ȵʨʰi44	hei44 I!	ȵɛ42	ŋoŋ31	ʑi33	ʨo31	ɕi55 T!	ku33	ŋkɯ35	kɑŋ35	ci35	kɯ43	ȵe31	ce35	ʐei35	ʐɯ35
Yanghao	pa44	moŋ33	mɛ11(4) T!	vu13	pi44	paŋ55	o33	tsen35	pi33	pɛ35	pi11	pɛ44	tsa33	zɛ11	za13	za31	va11 I!	l̥u33	hə53	ȵi31	ȴu33̥	ɕʰu33	sʰei53	sʰoŋ35	sa35	ta53	tʰɛ44	tu11	ta13	ta35	tə44	noŋ35	lɛ33	fa44	nə13	l̥ʰa44	tɛ35	fa33瓜	qei33	ȶu13	ȶu44	ȶə53	ȶaŋ13	xʰi33	xʰi33	ɕʰu35	ɕʰaŋ35	ȵ̥ hoŋ35	ȵaŋ13	ȵi55	ʑa31	ʨə55	ʨʰu44 T!	ʨu31	ʨi33	ʨaŋ33	kaŋ33	ki35	ȵen55	ki33	ɣu33	ɣi33
Fuyuan	pi24(C)	ʔmoŋ31(A)	ma24C)	wo24(C)	pu24(C)	ven31(A)	u31(A)	pze55(B)	pzi31(A)	paŋ55(B)	wei55(B)	mʔpaŋ24(C)	pja31(A)	mpji55(B)	mpja24(C)	mpja31(D)	wja55(B)	plou31(A)	ho31(D)	mple31(D)	plou31(A)	so31(A)	ʦʰe24(C) T!	ʦʰoŋ 55(B)	ntsi55(B)	ta31(D)	tʰaŋ24(C)	ðo55(B)	ða24(C)	nʔti55(B)	nʔtoŋ24(C)	ʔnoŋ55(B)	ʔlaŋ31(A)	qwa24C)	no24(C)	l̥a24	tu55(B)	qwa31(A)	qe31(A)	ʐo24(C)	tʂo24(C)	tʂu31(D)	ʐoŋ24(C)	sen31(A)	sen31(A) I! tsʰu55(B)		nʔʦʰen55(B)	ȵ̥ oŋ55(B)	ȵen24(C)	ȵen31(A)	ʑa31(D)	ʑa31(A)	kʰo31(D)	ɣo31(D)	ȵʔʨi31(A)	ʨen31(A)	ʨen31(A)	ʨi55(B)	ȵen31(A)	ka31(A)	ʔwju31(A)	ʔwji31(A)
Qibainong	pai55	muŋ33	mɔŋ221	vo221	pau41	pen13	au33	pi43	pe33	puŋ43	pe232	mpuŋ41	pjo33	mpje232	mpjɔ221	mpjo21	ɣo232	tɬa33	hu32	ntɬa21	tɬa33	sʰu33	θʰa32	θʰɔŋ54	ntθai43	to32	tʰo41	to454	tɔ221	nte43	ntaŋ41	nɔŋ43	luŋ33	kwɔ41	naŋ221	ɬo41	tau53	ko33	ka33	ʈu221	ʈu41	ʈɔ32	ʈi221	hiŋ33	sʰiŋ33	sa43	ntsʰəŋ43	ȵ̥ ɔŋ43	ȵiŋ221	ȵiŋ13	ʑo21	ʨo13 F!	ʨʰ32	ʨu21	ȵtɕe33	ken33	kjəŋ33	kje43	ȵuŋ13	kjuŋ33	ɣa33	ɣe33
Wenjie	pe55	ma35	mɦɪ 4	vɦɔ44	pɤ55	pɦɤ33	va35 I!	pe31	pɤ35	pɔ̃ 31	pɦʉ 42 F!	mɔ̃ 55 I!	pja35	mpjo42	mpɦɪ 44	mpɦɪ 42	vɦe42	pi35	hɔ53	mpɦɪ42	pi35	sʉ35	sɤ53	sõ31	nte31 I!	te53	tʰɛ̃55 F!	tɦɤ42	tɦe44 F!	to31 I!	nɔ̃55 I!	ŋ31	lɔ̃35	kwa55	mo44	ɬo55	tɤ31	qwa35	qɛ35	ʨɦɔ44	ʨʉ55	tɕa53	ʨɦõ44	hɪ̃35	seŋ35	ɕe31	ȵʨe31	ȵ̥ a31	ȵɦi44	ŋ33	jɦi42	kɦo33	ŋkʉ53 I!	kɦʉ42	Nqo35 I!	kõ35	qɣ35	qo31	ŋɦ33	qɔ̃35	i35	jo35
Changdong	pa35	mɐŋ44	mɔ31(4) T!	vau22	pau35	pen33	u44	pi53	pa44	paŋ53	ʧa31	mpaŋ35	pui44 F!	mpja31	mpja22	mpwai32 I!	ŋkwe31	ple44	xɔ43喝	mpli32	ple44	θjɔ44	ʃi43	θɐŋ53	ɳtʃei53	ðe43	tʰɔu53(3) F! T!	tau31	ta22	ða53 I!	ntwaŋ35 I!	ne53	xoŋ44 I!	kwa35	nwaŋ22 I!	l̥e35	ðau53	kwe44	kai44	ʃau22	tʃɔ35	tsu43 I!	ʃoŋ22	ŋkʰeŋ343	ŋkʰeŋ343 I! θe53		θi53 I!	ȵ̥ e53 F!	ȵiŋ22	ȵiŋ33	je32	ʧu33	ʃɔ43	ʧɔ32	ɳʧa44	ʧoŋ44	kjen44	kja53	ȵɔ33	kjaŋ44	ji44 I!	ŋkja44
