ID,Name,Concepticon_ID,Concepticon_Gloss,Chinese_Gloss
1_hundred,hundred,1634,HUNDRED,百
2_pain,pain,1783,PAIN,痛
3_sell,sell,1571,SELL,卖
4_taro,taro,351,TARO,芋头
5_sleep,sleep,1585,SLEEP,睡
6_flower,flower,239,FLOWER,花
7_two,two,1498,TWO,二
8_fruit,fruit,1507,FRUIT,水果
9_three,three,492,THREE,三
10_full,full,1429,FULL,满
11_hand,hand,1277,HAND,手
12_snow,snow,784,SNOW,雪
13_five,five,493,FIVE,五
14_fish,fish,227,FISH,鱼
15_bambooshoot,bamboo shoot,2494,BAMBOO SHOOT,竹笋
16_spicy,spicy,544,SPICY,辣
17_urine,urine,1142,URINE,尿
18_four,four,1500,FOUR,四
19_drink,drink,1401,DRINK,喝
20_tongue,tongue,1205,TONGUE,舌头
21_hair,hair,1040,HAIR,毛
22_sour,sour,1906,SOUR,酸
23_lacquer,lacquer,647,PAINT (PIGMENTS),漆
24_bone,bone,1394,BONE,骨头
25_washhands,wash (hands),1453,WASH,洗(洗手)
26_wing,wing,1257,WING,翅膀
27_charcoal,charcoal,1188,CHARCOAL,炭(木炭)
28_fire,fire,221,FIRE,火
29_die,die,1494,DIE,死
30_long,long,1203,LONG,长
31_wearcap,wear (cap),976,WEAR,戴(戴帽)
32_this,this,1214,THIS,这
33_classifierbowl,classifier (bowl),2080,BOWL (CLASSIFIER),个(这个碗)
34_crossriver,cross (river),574,TRANSIT,过(过河)
35_bird,bird,937,BIRD,鸟
36_moon,moon,1313,MOON,月亮
37_tail,tail,1220,TAIL,尾巴
38_cucumber,cucumber,496,CUCUMBER,黄瓜
39_chicken,chicken,1318,CHICKEN,鸡
40_chopsticks,chopsticks,1987,CHOPSTICKS,筷子
41_six,six,1703,SIX,六
42_laugh,laugh,1355,LAUGH,笑
43_fat,fat,1279,FAT (OBESE),肥
44_high,high,2790,HIGH OR TALL,高
45_new,new,1231,NEW,新
46_ash,ash,646,ASH,灰(草木灰)
47_blood,blood,946,BLOOD,血
48_heavy,heavy,1210,HEAVY,重
49_steal,steal,713,STEAL,偷
50_silver,silver,759,SILVER,银子
51_eight,eight,1705,EIGHT,八
52_nine,nine,1483,NINE,九
53_itchy,itchy,149,ITCHY,痒
54_ten,ten,1515,TEN,十
55_mushroom,mushroom,641,MUSHROOM,菌子
56_aunitofweight,a unit of weight,2647,CATTY (MASS UNIT),斤
57_worm,worm,1219,WORM,虫
58_road,road,667,ROAD,路
59_buffalo,buffalo,934,BUFFALO,水牛
60_horn,horn,1393,HORN (ANATOMY),角
61_vegetable,vegetable,924,VEGETABLES,菜
62_stone,stone,857,STONE,石头
