ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
ProtoHmongMien-1_hundred-1,,ProtoHmongMien,1_hundred,pæk,pæk,p æ k,,Ratliff2010,,,^p æ k$,default
ProtoHmongMien-3_sell-1,,ProtoHmongMien,3_sell,mɛijH,mɛijH,m ɛi j H/⁵¹,,Ratliff2010,,,^m ɛi j H$,default
ProtoHmongMien-4_taro-1,,ProtoHmongMien,4_taro,wouH,wouH,w o u H/⁵¹,,Ratliff2010,,,^w o u H$,default
ProtoHmongMien-5_sleep-1,,ProtoHmongMien,5_sleep,pu̯eiH,pu̯eiH,p w ei H/⁵¹,,Ratliff2010,,,^p u̯ ei H$,default
ProtoHmongMien-6_flower-1,,ProtoHmongMien,6_flower,bi̯aŋ,bi̯aŋ,b j a ŋ,,Ratliff2010,,,^b i̯ a ŋ$,default
ProtoHmongMien-7_two-1,,ProtoHmongMien,7_two,ʔu̯i,ʔu̯i,ʔ w i,,Ratliff2010,,,^ʔ u̯ i$,default
ProtoHmongMien-8_fruit-1,,ProtoHmongMien,8_fruit,pji̯əuX,pji̯əuX,p j əu X/¹⁵,,Ratliff2010,,,^p ji̯ əu X$,default
ProtoHmongMien-9_three-1,,ProtoHmongMien,9_three,pjɔu,pjɔu,p j ɔu,,Ratliff2010,,,^p j ɔu $,default
ProtoHmongMien-10_full-1,,ProtoHmongMien,10_full,pu̯ɛŋX,pu̯ɛŋX,p w ɛ ŋ X/¹⁵,,Ratliff2010,,,^p u̯ ɛ ŋ X$,default
ProtoHmongMien-11_hand-1,,ProtoHmongMien,11_hand,bɔuX,bɔuX,b ɔu X/¹⁵,,Ratliff2010,,,^b ɔu X$,default
ProtoHmongMien-13_five-1,,ProtoHmongMien,13_five,pra,pra,p r a,,Ratliff2010,,,^p r a$,default
ProtoHmongMien-14_fish-1,,ProtoHmongMien,14_fish,mbrəuX,mbrəuX,ⁿb r əu X/¹⁵,,Ratliff2010,,,^mb r əu X$,default
ProtoHmongMien-16_spicy-1,,ProtoHmongMien,16_spicy,mbrat,mbrat,ⁿb r a t,,Ratliff2010,,,^mb r a t$,default
ProtoHmongMien-17_urine-1,,ProtoHmongMien,17_urine,raX,raX,r a X/¹⁵,,Ratliff2010,,,^r a X$,default
ProtoHmongMien-18_four-1,,ProtoHmongMien,18_four,plei,plei,p l ei,,Ratliff2010,,,^p l ei $,default
ProtoHmongMien-19_drink-1,,ProtoHmongMien,19_drink,hup,hup,h u p,,Ratliff2010,,,^h u p$,default
ProtoHmongMien-20_tongue-1,,ProtoHmongMien,20_tongue,mblet,mblet,ⁿb l e t,,Ratliff2010,,,^mb l e t$,default
ProtoHmongMien-21_hair-1,,ProtoHmongMien,21_hair,pljei,pljei,p l j ei,,Ratliff2010,,,^p l j ei $,default
ProtoHmongMien-22_sour-1,,ProtoHmongMien,22_sour,suj,suj,s u j,,Ratliff2010,,,^s u j$,default
ProtoHmongMien-23_lacquer-1,,ProtoHmongMien,23_lacquer,tʰ jet,tʰ_jet,tʰ + j e t,,Ratliff2010,,,^tʰ _ j e t$,default
ProtoHmongMien-24_bone-1,,ProtoHmongMien,24_bone,ʦʰuŋX,ʦʰuŋX,tsʰ u ŋ X/¹⁵,,Ratliff2010,,,^ʦʰ u ŋ X$,default
ProtoHmongMien-25_washhands-1,,ProtoHmongMien,25_washhands,ntsæwX,ntsæwX,n ts æ w X/¹⁵,,Ratliff2010,,,^n ts æ w X$,default
ProtoHmongMien-26_wing-1,,ProtoHmongMien,26_wing,N-tat,N-tat,n t a t,,Ratliff2010,,,^N- t a t$,default
ProtoHmongMien-27_charcoal-1,,ProtoHmongMien,27_charcoal,tʰanH,tʰanH,tʰ a n H/⁵¹,,Ratliff2010,,,^tʰ a n H$,default
ProtoHmongMien-28_fire-1,,ProtoHmongMien,28_fire,douX,douX,d o u X/¹⁵,,Ratliff2010,,,^d o u X$,default
ProtoHmongMien-29_die-1,,ProtoHmongMien,29_die,dəjH,dəjH,d ə j H/⁵¹,,Ratliff2010,,,^d ə j H$,default
ProtoHmongMien-30_long-1,,ProtoHmongMien,30_long,ntauX,ntauX,n t au X/¹⁵,,Ratliff2010,,,^n t au X$,default
ProtoHmongMien-32_this-1,,ProtoHmongMien,32_this,ʔneinX,ʔneinX,ʔ n ei n X/¹⁵,,Ratliff2010,,,^ʔ n ei n X$,default
ProtoHmongMien-34_crossriver-1,,ProtoHmongMien,34_crossriver,KwajH,KwajH,kʷ ai H/⁵¹,,Ratliff2010,,,^Kw aj H$,default
ProtoHmongMien-35_bird-1,,ProtoHmongMien,35_bird,m-nɔk,m-nɔk,m n ɔ k,,Ratliff2010,,,^m - n ɔ k$,default
ProtoHmongMien-36_moon-1,,ProtoHmongMien,36_moon,hlaH,hlaH,h l a H/⁵¹,,Ratliff2010,,,^h l a H$,default
ProtoHmongMien-37_tail-1,,ProtoHmongMien,37_tail,tu̯eiX,tu̯eiX,t w ei X/¹⁵,,Ratliff2010,,,^t u̯ ei X$,default
ProtoHmongMien-38_cucumber-1,,ProtoHmongMien,38_cucumber,Kwa,Kwa,kʷ a,,Ratliff2010,,,^Kw a$,default
ProtoHmongMien-39_chicken-1,,ProtoHmongMien,39_chicken,Kəi,Kəi,k əi ⁰,,Ratliff2010,,,^Kəi$,default
ProtoHmongMien-40_chopsticks-1,,ProtoHmongMien,40_chopsticks,drouH,drouH,d r o u H/⁵¹,,Ratliff2010,,,^d r o u H$,default
ProtoHmongMien-41_six-1,,ProtoHmongMien,41_six,kruk,kruk,k r u k,,Ratliff2010,,,^k r u k$,default
ProtoHmongMien-42_laugh-1,,ProtoHmongMien,42_laugh,krət,krət,k r ə t,,Ratliff2010,,,^k r ə t$,default
ProtoHmongMien-43_fat-1,,ProtoHmongMien,43_fat,grəunH,grəunH,g r əu n H/⁵¹,,Ratliff2010,,,^g r əu n H$,default
ProtoHmongMien-44_high-1,,ProtoHmongMien,44_high,-hr̯əŋ,-hr̯əŋ,h r ə ŋ,,Ratliff2010,,,^ - h r̯ ə ŋ$,default
