LEXEME,REPLACEMENT,COMMENT
tʰ jet,tʰjet, remove white space
ȵ̥ ɪŋ3,ȵ̥ɪŋ3,remove white space
ȵ̥ hoŋ35,ȵ̥hoŋ35,remove white space
ȵ̥ oŋ55(B),ȵ̥oŋ55(B),remove white space
ȵ̥ ɔŋ43,ȵ̥ɔŋ43,remove white space
ȵ̥ a31,ȵ̥a31,remove white space
ȵ̥ e53,ȵ̥e53,remove white space
ȵ̥ i53,ȵ̥i53,remove white space
