Grapheme	IPA
$	NULL
(1)	NULL
(2)	NULL
(3)	NULL
(4)	NULL
(5)	NULL
(5’)6$	NULL
(6)	NULL
(7)	NULL
(7a)	NULL
(A)	NULL
(B)	NULL
(C)	NULL
(D)	NULL
_I!	NULL
-	NULL
X___	X/¹⁵
-ʔ	ʔ
1$	¹
11	¹¹
11$	¹¹
12$	¹²
13	¹³
13$	¹³
2$	²
21	²¹
21$	²¹
213$	²¹³
22	²²
22$	²²
221$	²²¹
232$	²³²
24	²⁴
24$	²⁴
3$	³
31	³¹
31$	³¹
32	³²
32$	³²
33	³³
33$	³³
33̥$	³³
343	³⁴³
343$	³⁴³
35	³⁵
35$	³⁵
4$	⁴
41$	⁴¹
42	⁴²
42$	⁴²
43	⁴³
43$	⁴³
44	⁴⁴
44$	⁴⁴
454$	⁴⁵⁴
5$	⁵
53	⁵³
53$	⁵³
54$	⁵⁴
545	⁵⁴⁵
545$	⁵⁴⁵
55	⁵⁵
55$	⁵⁵
6$	⁶/⁵¹
7$	⁷/³³
8$	⁸/⁴⁴
A)	NULL
B)	NULL
C)	NULL
D)	NULL
F!	NULL
F!$	NULL
H$	H/⁵¹
I!	NULL
I!$	NULL
T!$	NULL
X	X/¹⁵
X$	X/¹⁵
^	NULL
^K	K
^Kw	kʷ
^Kəi$	k əi ⁰
^N-	n
^Nq	ⁿq
^a	a
^b	b
^bw	b w
^c	c
^cw	tsʷ
^cʰ	cʰ
^d	d
^f	f
^g	g
^h	h
^i	i
^j	j
^k	k
^kw	k w
^kʰ	kʰ
^kʰw	kʰ w
^l	l
^l̥	l̥
^l̥ʰ	l̥ʰ
^m	m
^mb	ⁿb
^mʐ	m ʐ
^n	n
^nw	n w
^o	o
^p	p
^pw	p w
^pʐ	p ʐ
^pʰ	pʰ
^q	q
^qw	q w
^r	r
^s	s
^sʰ	sʰ
^t	t
^ts	ts
^tsʰ	tsʰ
^tw	t w
^tɕ	tɕ
^tʂ	ʈʂ
^tʂʰ	ʈʂʰ
^tʂʰw	ʈʂʰ w
^tʃ	tʃ
^tʰ	tʰ
^u	u
^v	v
^vʐ	v ʐ
^w	w
^x	x
^xʰ	xʰ
^z	z
^ð	ð
^ŋ	ŋ
^ȴ	ȴ
^ȵ	ȵ
^ȵw	ȵ w
^ȵ̥	ȵ̊
^ȶ	ȶ
^ɕ	ɕ
^ɕw	ɕ w
^ɕʰ	ɕʰ
^ɖ	ɖ
^ɛ	ɛ
^ɡ	g
^ɣ	ɣ
^ɬ	ɬ
^ɯ	ɯ
^ɲ	ɲ
^ɳ	ɳ
^ʂ	ʂ
^ʃ	ʃ
^ʈ	ʈ
^ʐ	ʐ
^ʑ	ʑ
^ʔ	ʔ
^ʔw	ˀw
^ʦ	ts
^ʦʰ	tsʰ
^ʧ	tʃ
^ʨ	tɕ
^ʨw	tɕ w
^ʨʰ	tɕʰ
^θ	θ
^θʰ	θʰ
_	+
_F!	NULL
_F!T!	NULL
_I!	NULL
_IT_TI	NULL
_T!	NULL
a	a
a$	a
a:	aː
ai	ai
aj	ai
au	au
b	b
c	c
cw	tsʷ
d	d
dʐ	ɖʐ
e	e
e:	eː
ei	ei
eu	eu
h	h
i	i
i$	i
i̯	j
j	j
j$	j
ji̯	j
k	k
k$	k
kw	k w
kʰ	kʰ
l	l
m	m
n	n
n$	n
o	o
o:	oː
p	p
p$	p
pw	p w
q	q
r	r
r̯	r
t	t
t$	t
ts	ts
tsʰ	tsʰ
tw	t w
tɕ	tɕ
tʂ	ʈʂ
tʂʰ	ʈʂʰ
tʃ	tʃ
u	u
u$	u
u̯	w
v	v
w	w
wi̯	ɥ
z	z
æ	æ
æ:	æː
õ	õ
ŋ	ŋ
ŋ$	ŋ
ɐ	ɐ
ɐ:	ɐː
ɑ	ɑ
ɒ	ɒ
ɒ:	ɒː
ɔ	ɔ
ɔ:	ɔː
ɔi	ɔi
ɔu	ɔu
ɔ̃	ɔ̃
ə	ə
ə$	ə
ə:	əː
əi	əi
əu	əu
ɛ	ɛ
ɛ:	ɛː
ɛi	ɛi
ɛu	ɛu
ɛɔ	ɛɔ
ɛ̃	ɛ̃
ɟ	ɟ
ɣ	ɣ
ɤ	ɤ
ɦ	ɦ
ɪ	ɪ
ɪ:	ɪː
ɪ̃	ɪ̃
ɬ	ɬ
ɭ	ɭ
ɯ	ɯ
ʉ	ʉ
ʔ	ʔ
ʦʰ	tsʰ
ʧ	tʃ
ʨ	tɕ
ʨʰ	tɕʰ
θ	θ
θʰ	θʰ
θʰw	θʰ w
ᴀ	ɑ̟
ᴀ:	ɑ̟ː
喝$	NULL
瓜$	NULL
